id,collection,dc.contributor.author,dc.date.issued,dc.description.abstract,dc.identifier.citation,dc.identifier.uri,dc.language.iso,dc.title,dc.type
+,123456789/14,T. Saferi||F. Doko||A. Hristov,2023-06-01,"Advanced distributed technologies play a pivotal role in numerous fields, including scientific research, weather
forecasting, and financial modeling, by revolutionizing the way data is processed and analyzed. In scientific
research, these technologies enable collaborative efforts across different institutions and countries, allowing
scientists to pool their resources and expertise for groundbreaking discoveries, they allow for the processing and
analysis of large amounts of data, such as genomics data or observational data from telescopes. They also enable
the use of complex models and simulations that would otherwise be infeasible... By distributing the
computational load across multiple systems, complex simulations and data-intensive experiments can be
performed more efficiently, leading to accelerated scientific progress. Similarly, in weather forecasting,
advanced distributed technologies empower meteorologists to process vast amounts of data from satellites,
weather stations, and other sources in real-time. This facilitates accurate predictions, early warning systems, and
improved disaster preparedness, ultimately saving lives and minimizing damages caused by severe weather
events. Furthermore, in financial modeling, distributed technologies enable the analysis of vast financial datasets
and the development of sophisticated algorithms for risk assessment, portfolio optimization, and market
predictions. These technologies provide financial institutions with faster and more accurate insights, aiding
decision-making and reducing risks. In summary, advanced distributed technologies are instrumental in
unlocking the full potential of scientific research, weather forecasting, and financial modeling, driving
innovation and enhancing our understanding of the world around us.","Journal of UIST, ISSN 2955-182X, 3(1)",https://journal.uist.edu.mk/wp-content/uploads/2023/08/Journal_of_UIST_Vol3.pdf||http://repository.uist.edu.mk/handle/123456789/110,en,Overview and performance analysis of the latest supercomputer,Article
+,123456789/14,J. Damoska Sekuloska||N. Marina,2021-12-31,"This publication titled 'Artificial Intelligence Based Model in the Provision of Financial Services' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","Economic Development – Journal of the Institute of Economics, 24(1)",https://www.ek-inst.ukim.edu.mk/wp-content/uploads/2022/08/Economic-Development-Journal-of-The-Institute-of-Economics-Skopje-Year.23-No.-12021-April-2021-2.pdf||http://repository.uist.edu.mk/handle/123456789/96,en,Artificial Intelligence Based Model in the Provision of Financial Services,Article
+,123456789/14,M. Ismajloska||Lj. Topuzoska,2026-12-31,"This publication titled 'Film as an attitude toward culture: David Fincher's adaptation of 'Fight Club' by Chuck Palahniuk (in Macedonian)' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","Spektar. Institute of Macedonian Literature, Skopje. ISSN: 0352-2423",https://iml.edu.mk/spektar/||http://repository.uist.edu.mk/handle/123456789/114,en,Film as an attitude toward culture: David Fincher's adaptation of 'Fight Club' by Chuck Palahniuk (in Macedonian),Article
+,123456789/14,O. Petan||A. Karadimche||D. Hadley,2024-02-01,"Chest imaging (X-ray, CT, MRI, etc.) is often used to diagnose COVID-19 infections, and the 
clinical interpretation of these images may influence patient treatment plans including quarantine, ICU 
admission, and ventilator support. Convolutional neural networks represent state-of-the art artificial 
intelligence (AI) for image classification and require large and diverse training image datasets to achieve 
clinical grade performance.  The artificial intelligence community has been focusing on building CNNs to 
help physicians images for COVID-19 patients, but the open community attempts have been plagued by a 
few main problems that are characteristic of training AI for clinical applications:   
Our work suggests that the incorporation of finer clinical features such as multi-class labeling of 
outcomes may improve clinical performance.  Much more diverse and properly annotated data, as well as a 
proper data architecture is needed to build clinically useful AI applications. Leveraging computers and state 
of the art artificial intelligence could play a crucial role in helping physicians manage the spread of COVID
19, as well as provide better and more timely care for patients infected with COVID-19.  
The experiments described in this paper investigate whether using computer vision to detect patterns 
in pathological lung tissue can alleviate the pressure on healthcare systems and facilitate the management 
of future pandemics. Due to a relatively small dataset, we use the VGG-16 network to do transfer learning 
on our images. Our results show that Artificial Intelligence can be used to find pathology in patients and to 
determine whether there is viral or bacterial pneumonia. However, AI shows challenging results when it 
comes to determining specific viral or bacterial pneumonias, which is in part due to the lack of available 
data. ","Journal of UIST, ISSN 2955-182X, 4(1), 5-21",https://journal.uist.edu.mk/wp-content/uploads/2024/03/Journal-of-UIST-Vol-4_.pdf||http://repository.uist.edu.mk/handle/123456789/116,en,Single-Label COVID-19 Lung Disease Classification,Article
+,123456789/7,A. Petkovski||J. Damoska Sekuloska,2021-12-31,"There is an ongoing conflict between software copyright owners and a vast majority of users who are 
continually finding ways to use the software without paying. The paper investigates the attitudes of the users 
towards application of licensed or unlicensed software. Through in-debt analysis of the focus group of software 
users on one hand and the official authorities responsible for implementation of copyrights regulation the paper 
identifies the reasons behind the actual situation of software using in the Macedonian economy. The officials 
do not invest any serious effort in the implementation of the copyrights protection legislation. The main 
arguments of the users, for opting to use unlicensed software, are the low purchasing power of people in 
Macedonian economy and the high software prices. The actual situation is unsustainable from legal, ethical, 
and economic aspects. A possible way out of this situation would entail software producers adjusting the prices 
of their products to the average purchase power of the Macedonian citizens, and the state should stop tolerating 
software piracy and display consistency in the implementation of copyright protection legislation.  ","UTMS Journal of Economics, 12(2), 211-224. EBSCO",https://www.utmsjoe.mk/files/Vol.12.No.2/8.EXAMINING_THE_SOFTWARE_PIRACY_PROBLEM_THROUGH_THE_CASE_OF_THE_MACEDONIAN_ECONOMY.pdf,en,Examining the software piracy problem through the case of the Macedonian economy,Article
+,123456789/14,J. Damoska Sekuloska,2022-03-01,"The digitalization of the processes and the appearance of 
new business models have consequently generated new professions and new 
modes of working resulting in greater labor prosperity and efficiency. Internet 
is growing into a huge labor market where freelancers offer their knowledge 
and skills. The main objective of the research is to analyze the changes re
sulting from the digitalization of the labor market and growth of the online 
freelancing. Internet and digital technology have been transforming and revo
lutionizing the labor market. It has changed the demand for skills, knowledge, 
and occupations. The paper examines the changing trends in the labor market 
analyzing primary and secondary data. The main focus of the research is di
rected to primary research revealing the economic, social, demographic, and 
motivational aspects behind online freelancing. The questionnaire survey was 
shared among the freelancers who have tried or pursued a career in the gig 
economy. The acquired answers provide valuable information about the mo
tives and the challenges the freelancers encounter. The main result of the paper 
is to identify online freelancing as a key visible indicator of the labor market","Economic Development – Journal of the Institute of Economics, 24(3), 87-109",https://www.ek-inst.ukim.edu.mk/wp-content/uploads/2022/10/6.-87-102-from-ED-year-25-no-3-2022-v.1-8.pdf,en,Influence of the Online Freelancing to the Labor Market,Article
+,123456789/7,B. Durmishi||Z. Misajleski||A. Velkoska,2023-12-31,"This publication titled 'Totally weakly chain separated sets in a topological space' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","Kragujevac Journal of Mathematics, 47(7), pp. 1075-1086. WoS ESCI + Scopus",http://elib.mi.sanu.ac.rs/files/journals/kjm/81/kjmn81p1075-1086.pdf||http://repository.uist.edu.mk/handle/123456789/246,en,Totally weakly chain separated sets in a topological space,Article
+,123456789/7,F. Milosheski||A. Karadimce,2025-05-20,"- In today's fast-paced business environment, operational efficiency is crucial for maintaining 
competitiveness and sustainable growth. This paper will examine the impact of implementing an automated 
invoicing system within a global employer of record (EOR) company. The company's previously used manual 
invoicing system was quite time-consuming, prone to errors, and inefficient, requiring 5 to 10 minutes per invoice 
generation. The newly developed automated invoicing system streamlined the client input management, payroll 
calculation and invoice generation, among other things. The transformation led the company to significant cost 
savings, improved cash flow, and enhanced client satisfaction while allowing the invoicing team to focus on more 
strategic initiatives. Additionally, this paper highlights the broader benefits of automation in operational 
processes and discusses potential future enhancements, such as utilising machine learning and AI to optimise 
efficiency further. The case study outlined in this paper provides valuable insights for companies that would like 
to automate and optimise their operational processes, especially invoicing.","WSEAS Transactions on Financial Engineering, 3, 221-230. Scopus",https://doi.org/10.37394/232032.2025.3.18||http://repository.uist.edu.mk/handle/123456789/236,en,Improving Operational Efficiency with an Automated Invoicing System,Article
+,123456789/6,Y. Madhwal||Y. Yanovich||M. Coveri||N. Marina,2024-12-31,"This publication titled 'Blockchain-enhanced hydrogen fuel production and distribution for sustainable energy management' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","Blockchain: Research and Applications, 5(4). Elsevier. CiteScore 2024: 16.1, JIF: 5.6",https://doi.org/10.1016/j.bcra.2024.100229||http://repository.uist.edu.mk/handle/123456789/86,en,Blockchain-enhanced hydrogen fuel production and distribution for sustainable energy management,Article
+,123456789/14,E. Hadzieva,2022-12-31,,"Numerus, 46-2, pp. 5-10. Union of Mathematicians of Macedonia, Skopje",http://repository.uist.edu.mk/handle/123456789/107,en,Diophantine equations (in Macedonian),Article
+,123456789/6,E. Domazet||G. Merdzan||V. Cvetkoska||D. Mechkaroska||C. Cerdaroglu||B. Sukubasi,2024-03-01,"Blockchain is a distributed ledger technology that can revolutionise the banking sector by increasing transparency, reducing costs, and enhancing security. However, the success of any banking service lies in the efficiency of serving it, which depends on the smoothness of internal documents and process flows. This paper proposes a novel method that uses blockchain infrastructure to address the efficiency, security, and privacy of workflow processes in the banking sector. Our approach combines Alfresco DMS and CMIS with the orchestration tool Camunda for workflow management and secures them with a notary using the Factom Blockchain. This method provides a secure, efficient, and reliable way for banks to process transactions, store documents, and manage their processes. It will enable banks to process transactions faster, reduce costs, minimise the risk of fraud, increase customer satisfaction, and fully consider blockchain technology's advantages.

Keywords: document management, workflow, automation, process management, blockchain, banking","Facta Universitatis, Series: Electronics and Energetics, 37(1), 107-123. WoS + Scopus, JIF (2024): 0.7",https://doi.org/10.2298/FUEE2401107D||http://repository.uist.edu.mk/handle/123456789/83,en,Revolutionising the Document Workflow Using Blockchain in Banking Sector,Article
+,123456789/6,A. Popovska-Mitrovikj||D. Mechkaroska||V. Bakeva,2023-05-19,"The concept of cryptcoding arises from the need to obtain secure and accurate transmission. This has led to an intensive development of coding theory and cryptography as scientific fields dealing with these problems. To ensure efficient and secure data transmission at the same time, the concept of cryptcoding is being developed, in which the coding and encryption processes are merged into one process. Cryptcodes provide correction of a certain number of errors in the transmitted message and data confidentiality, using only one algorithm. In this paper, we consider cryptcodes based on quasigroups, proposed elsewhere. Also, Burst-Cut-Decoding, Burst-4-Sets-Cut-Decoding, FastB-Cut-Decoding and FastB-4-Sets-Cut-Decoding algorithms for transmission of messages through burst channels have been defined and investigated elsewhere. Here, we investigate performances of these algorithms for transmission of images through burst channels. We made experiments for different channel parameters and compared the results obtained with different decoding algorithms of these cryptcodes. In all experiments, we considered the bit-error probability and the differences between the transmitted and decoded images. From the results presented in this paper we can conclude that Fast algorithms improve the performances of these cryptcodes for transmission of images over a burst channel. The best results are obtained by FastB-4-Sets-Cut-Decoding algorithm. In addition, to enhance the quality of the decoded images, we examined the application of a filter for visual correction of unsuccessfully decoded pixels using the surrounding pixels. The considered cryptcodes and presented results can be useful for application in satellite digital video broadcasting (DVB-S) coding and encryption schemes.","IEEE Access, 11, pp. 50823-50829. WoS, JIF: 3.476",https://ieeexplore.ieee.org/document/10129891||http://repository.uist.edu.mk/handle/123456789/82,en,Fast Decoding of Images with Cryptcodes for Burst Channels,Article
+,123456789/13,B. Chauleva||A. Hristov||U. R. Shikoska||Lj. G. Sandjakoska,2022-12-31,"This publication titled 'Secondary Structure Prediction of RNA using Convolutional Neural Networks' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","International Journal of Student Project Reporting (IJSPR), 1(1), 43-67. Inderscience Publishers, Geneva, Switzerland (OECD member state)",https://www.inderscience.com/storage/f101113498127256.pdf||http://repository.uist.edu.mk/handle/123456789/73,en,Secondary Structure Prediction of RNA using Convolutional Neural Networks,Article
+,123456789/7,M. Grabuloski||A. Karadimce||A. Sefidanoski,2025-12-31,"This publication titled 'Enhancing Language Models with Retrieval-Augmented Generation: A Comparative Study on Performance' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","WSEAS Transactions on Information Science and Applications, 22, 272-297. Scopus",https://doi.org/10.37394/23209.2025.22.23||http://repository.uist.edu.mk/handle/123456789/237,en,Enhancing Language Models with Retrieval-Augmented Generation: A Comparative Study on Performance,Article
+,123456789/7,A. Sefidanoski||F. Halili||B. R. Velkovska||Z. Kaevic,2022-12-31,"This publication titled 'Automated classification of fish using machine learning and pattern recognition' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","SAR Journal – Science and Research, 5(2), pp. 111-115. EBSCO (Central & Eastern European Academic Source – CEEAS)",https://doi.org/10.18421/SAR52-07||http://repository.uist.edu.mk/handle/123456789/250,en,Automated classification of fish using machine learning and pattern recognition,Article
+,123456789/6,Z. Misajleski||D. Velinov||A. Velkoska,2024-12-31,"This publication titled 'Method For Solving System Of Linear Equations mxn, m=1, 2, 3; Based On Its Geometrical Interpretations' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","Pedagogika-Pedagogy (Azbuki, Bulgaria). WoS",https://azbuki.bg/wp-content/uploads/2024/04/pedagogy_2s_24_zoranmisajleski.pdf||http://repository.uist.edu.mk/handle/123456789/92,en,"Method For Solving System Of Linear Equations mxn, m=1, 2, 3; Based On Its Geometrical Interpretations",Article
+,123456789/7,L. Miloshevska||N. Delibegovic Dzanic||C. Hatipoglu||E. Gajek,2021-12-31,"This publication titled 'Crowdsourcing for language learning in Turkey, Bosnia and Herzegovina, Republic of North Macedonia and Poland' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","Journal of Narrative and Language Studies (NALANS), 9(16), 170-188",https://nalans.com/index.php/nalans/article/view/391||http://repository.uist.edu.mk/handle/123456789/245,en,"Crowdsourcing for language learning in Turkey, Bosnia and Herzegovina, Republic of North Macedonia and Poland",Article
+,123456789/6,N. Saurabh||C. Rubi||A. Palanisamy||S. Koulouzis||M. Sefidanoski||A. Chakravorty||Z. Zhao||A. Karadimce||R. Prodan,2021-09-01,"Social media applications are essential for next-generation connectivity. Today, social media are centralized platforms with a single proprietary organization controlling the network and posing critical trust and governance issues over the created and propagated content. The ARTICONF project funded by the European Union's Horizon 2020 program researches a decentralized social media platform based on a novel set of trustworthy, resilient and globally sustainable tools that address privacy, robustness and autonomy-related promises that proprietary social media platforms have failed to deliver so far. This paper presents the ARTICONF approach to a car-sharing decentralized application (DApp) use case, as a new collaborative peer-to-peer model providing an alternative solution to private car ownership. We describe a prototype implementation of the car-sharing social media DApp and illustrate through real snapshots how the different ARTICONF tools support it in a simulated scenario.","Blockchain: Research and Applications, 1(1-2), art. 100013. Elsevier. WoS IF (2024): 1.42",https://doi.org/10.1016/j.bcra.2021.100013||http://repository.uist.edu.mk/handle/123456789/80,en,The ARTICONF Approach to Decentralized Car-Sharing,Article
+,123456789/6,V. Grujoski||A. Hristov||A. Velkoska,2025-12-31,"This publication titled 'Impact of COVID-19 on the Macedonian E-Pharmacy Market with Survey Analysis' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","TEM Journal – Technology, Education, Management, Informatics, 14(3), 2174-2183. WoS, JIF: 0.6",https://www.temjournal.com/content/143/TEMJournalAugust2025_2174_2183.pdf||http://repository.uist.edu.mk/handle/123456789/91,en,Impact of COVID-19 on the Macedonian E-Pharmacy Market with Survey Analysis,Article
+,123456789/14,D. Runchevski||A. Hristov||A. Rushiti,2024-02-01,"In the era of rapidly evolving technological landscapes and growing user demands, the scalability 
and performance of servers play a critical role in ensuring efficient and reliable service delivery. 
This research paper explores the various testing methodologies designed to evaluate the 
capabilities of servers concerning scalability and performance. It delves into the intricacies of 
testing methodologies, ranging from stress testing and load testing to performance profiling and 
benchmarking. The paper highlights the significance of these methodologies in assessing server 
response under varying workloads and traffic conditions, thereby enabling administrators and 
organizations to identify potential bottlenecks and optimize server configurations for enhanced 
performance. Furthermore, the research scrutinizes the challenges and complexities associated 
with accurately simulating real-world scenarios during testing, emphasizing the importance of 
comprehensive test environments that reflect the actual usage patterns and demands on servers. By 
presenting a comprehensive analysis of scalability and performance testing methods, this paper 
aims to provide valuable insights into the best practices for evaluating and enhancing the 
capabilities of servers in diverse operational environments.","Journal of UIST, ISSN 2955-182X, 4(1)",https://journal.uist.edu.mk/wp-content/uploads/2024/03/Journal-of-UIST-Vol-4_.pdf||http://repository.uist.edu.mk/handle/123456789/109,en,Mathematical modelling of scalability and performance testing methods for evaluating server capabilities,Article
+,123456789/14,M. Ismajloska||J. Ilovski,2025-12-31,"This publication titled 'Jonathan Livingston Seagull by Richard Bach – a Meeting between Literature and the Principles of Gestalt Therapy (in Macedonian)' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","Spektar, 85/2025. Institute of Macedonian Literature, Skopje. ISSN: 0352-2423",https://spektar.edu.mk/||http://repository.uist.edu.mk/handle/123456789/111,en,Jonathan Livingston Seagull by Richard Bach – a Meeting between Literature and the Principles of Gestalt Therapy (in Macedonian),Article
+,123456789/7,B. Demir||E. Domazet||D. Mechkaroska,2025-09-04,"With advancements in artificial intelligence (AI), deep learning (DL) has become crucial for real-time data analytics in areas like autonomous driving, healthcare, and predictive maintenance; however, its computational and memory demands often exceed the capabilities of low-end devices. This paper explores optimizing deep learning architectures for memory efficiency to enable real-time computation in low-power designs. Strategies include model compression, quantization, and efficient network designs. Techniques such as eliminating unnecessary parameters, sparse representations, and optimized data handling significantly enhance system performance. The design addresses cache utilization, memory hierarchies, and data movement, reducing latency and energy use. By comparing memory management methods, this study highlights dynamic pruning and adaptive compression as effective solutions for improving efficiency and performance. These findings guide the development of accurate, power-efficient deep learning systems for real-time applications, unlocking new possibilities for edge and embedded AI.","Engineering Proceedings (MDPI), 104, 77. Scopus; MDPI, Switzerland (OECD)",https://doi.org/10.3390/engproc2025104077||http://repository.uist.edu.mk/handle/123456789/241,en,Overview of Memory-Efficient Architectures for Deep Learning in Real-Time Systems,Article
+,123456789/6,I. R. Lima||C. Marinho||V. Filipe||A. Ulisses||N. Saurabh||A. Chakravorty||Z. Zhao||A. Hristov||R. Prodan,2023-09-15,"Media production and consumption behaviors are changing in response to new technologies and demands, giving birth to a new generation of social applications. Among them, crowd journalism represents a novel way of constructing democratic and trustworthy news relying on ordinary citizens arriving at breaking news locations and capturing relevant videos using their smartphones. The ARTICONF project as reported by Prodan (Euro-Par 2019: parallel processing workshops, Springer, 2019) proposes a trustworthy, resilient, and globally sustainable toolset for developing decentralized applications (DApps) to address this need. Its goal is to overcome the privacy, trust, and autonomy-related concerns associated with proprietary social media platforms overflowed by fake news. Leveraging the ARTICONF tools, we introduce a new DApp for crowd journalism called MOGPlay. MOGPlay collects and manages audiovisual content generated by citizens and provides a secure blockchain platform that rewards all stakeholders involved in professional news production. Besides live streaming, MOGPlay offers a marketplace for audiovisual content trading among citizens and free journalists with an internal token ecosystem. We discuss the functionality and implementation of the MOGPlay DApp and illustrate four pilot crowd journalism live scenarios that validate the prototype.","Social Network Analysis and Mining, 13, 116. Springer. WoS, JIF: 2.8",https://doi.org/10.1007/s13278-023-01110-y||http://repository.uist.edu.mk/handle/123456789/79,en,ARTICONF decentralized social media platform for democratic crowd journalism,Article
+,123456789/14,A. Petkovski||I. Bimbilovski||J. Damoska Sekuloska,2020-06-01,"Rapid development of communication technologies results in burdening employees with business related tasks beyond working hours. Several countries including European Union are undertaking actions to tackle this issue. Laying out some excelling international practices the study focuses on exploring the actual situation regarding the violation of working hours in Republic of Macedonia via tools for electronic communication. Semi structured interviews with employees and relevant social partners, as well as review of existing legislative and other documents were used for data gathering, and content analysis was deployed for analyzing the data. France and Germany are countries that champion the efforts for stopping the afore mentioned violation. Concerning Macedonia, results reveal there are many cases of violation of working hours through tools for electronic communication, both in public and private legal entities. There is not any specific regulation addressing this issue, the provisions of the labor legislation are lacking clarity, and the employees are reluctant to use the available legal instruments fearing subsequent retribution from the employers. The Employers Association does not consider the after work electronic communication as serious violation of employees’ rights. The Parliament and Labor Inspection should act on upgrading the legislation in direction of stopping this illegal practice, and efficiently observe its implementation.","Journal of Law and Politics, Vol. 2/2, June 2021",https://jlp.ibupress.com/articles/the-role-of-modern-tools-for-electronic-communication-vis---vis-violation-of-labor-rights---international-and-macedonian-perspective,en,The role of modern tools for electronic communication vis-a-vis violation of labor rights – international and Macedonian perspective,Article
+,123456789/6,N. Delibegovic Dzanic||C. Hatipoglu||L. Miloshevska||E. Gajek,2023-12-31,"This publication titled 'Has online learning changed the way we study? Student evaluation of teachers' pedagogical skills during the first COVID-19 period and potential change in their learning habits' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","Folia Linguistica et Litteraria, 45, 99-123. WoS ESCI",https://doi.org/10.31902/fll.45.2023.6||http://repository.uist.edu.mk/handle/123456789/85,en,Has online learning changed the way we study? Student evaluation of teachers' pedagogical skills during the first COVID-19 period and potential change in their learning habits,Article
+,123456789/14,V. Angjelkoska||E. Hadzieva,2022-12-31,,"Numerus, 47-3, pp. 7-11. Union of Mathematicians of Macedonia, Skopje",http://repository.uist.edu.mk/handle/123456789/104,en,Counting lines and 2D figures – part 2 (in Macedonian),Article
+,123456789/14,J. Iloski||J. Karamachoski,2024-02-01,"The rise of the popularity of Blockchain technologies, brought a cascade increase of interest for other Blockchain related products. The Non-Fungible Tokens (NFTs) represent a unique identification for digital assets present on a Blockchain system. The primary use of the NFTs are to represent digital images hosted on a dedicated web site. In most cases the environment or the visual interface for NFTs exhibition is a basic web page that is not interesting for the masses. The development of a virtual environment with increased details for the virtual reality, will leverage the overall experience of displaying and watching the NFTs collections to a level of exhibition in a gallery. In this paper we are proposing an on-chain cloudless semi-dynamic solution for virtual NFT gallery with increased security from theft, ransomware and inaccessibility of the content.","Journal of UIST, ISSN 2955-182X, 4(1)",https://doi.org/10.13140/RG.2.2.31468.58245||http://repository.uist.edu.mk/handle/123456789/120,en,Gamification of NFT collections: Virtual NFT gallery,Article
+,123456789/7,S. Trajanoski||A. Karadimce,2026-12-31,"This publication titled 'Design and Deployment of Custom GPT Solutions Using Azure OpenAI Service' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","WSEAS Transactions on Computers, 2026. Scopus (ISSN: 1109-2750)",https://wseas.com/journals/computers/||http://repository.uist.edu.mk/handle/123456789/235,en,Design and Deployment of Custom GPT Solutions Using Azure OpenAI Service,Article
+,123456789/13,N. Delibegovic Dzanic||E. Gajek||H. Cilier||L. Milosevska,2023-12-31,"This publication titled 'Students' evaluation of online assessment practices in the Covid-19 online teaching period: In Turkiye, Poland, Republic of North Macedonia, and Bosnia and Herzegovina' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","Pannoniana, 7(1). Josip Juraj Strossmayer University of Osijek, Faculty of Humanities and Social Sciences, Croatia (EU member state)",https://doi.org/10.32903/p.7.1.1||http://repository.uist.edu.mk/handle/123456789/72,en,"Students' evaluation of online assessment practices in the Covid-19 online teaching period: In Turkiye, Poland, Republic of North Macedonia, and Bosnia and Herzegovina",Article
+,123456789/6,M. Ljushkoski||D. Capeska Bogatinoska||D. Mechkaroska,2026-12-31,"This publication titled 'Low-Cost Arduino Environmental Monitoring: Structured vs. Unstructured Data Formats' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","Facta Universitatis, Series: Electronics and Energetics, in press (accepted 26.01.2026). JCR IF (2024): 0.7; CiteScore: 1.3",http://repository.uist.edu.mk/handle/123456789/75,en,Low-Cost Arduino Environmental Monitoring: Structured vs. Unstructured Data Formats,Article
+,123456789/6,N. Karandikar||R. Abhishek||N. Saurabh||Z. Zhao||A. Lercher||N. Marina||R. Prodan||C. Rong||A. Chakravorty,2021-12-31,"This publication titled 'Blockchain-based prosumer incentivization for peak mitigation through temporal aggregation and contextual clustering' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","Blockchain: Research and Applications, 2(2), 100016. Elsevier",https://doi.org/10.1016/j.bcra.2021.100016||http://repository.uist.edu.mk/handle/123456789/89,en,Blockchain-based prosumer incentivization for peak mitigation through temporal aggregation and contextual clustering,Article
+,123456789/14,N. Skenderov||A. Karadimche,2023-06-01,"Blockchain technology significantly impacted the previous decade with the creation of the popular
cryptocurrency Bitcoin. Decentralization, the core property of the technology, was used for
developing various successful applications such as Non-Fungible Tokens (NFT). On the other hand,
the world is facing difficult challenges in funding activities to preserve endemic wildlife. In this paper,
we investigate the current climate for funding for wildlife conservation, initial attempts for wildlife
conservation using NFT and propose a model for wildlife conservation using NFT","Journal of UIST, ISSN 2955-182X, 3(1), 14-26",https://journal.uist.edu.mk/wp-content/uploads/2023/08/Journal_of_UIST_Vol3.pdf||http://repository.uist.edu.mk/handle/123456789/117,en,Non-Fungible Token Model for Wildlife Conservation,Article
+,123456789/14,E. Hadzieva,2022-12-31,,"Numerus, 48-2, pp. 6-10. Union of Mathematicians of Macedonia, Skopje",http://repository.uist.edu.mk/handle/123456789/103,en,A few exercises for Square (in Macedonian),Article
+,123456789/6,J. Kanevce||J. Karamachoski||M. Puncheva||N. Marina,2021-06-08,"Blockchain is a growing distributed list of records that are linked using cryptographic hashes. Its robustness, simplicity, immutability and trust are basis for development of interesting innovative business solutions. Considering some use-case scenarios within the financial sector, we developed a Blockchain based trading application placed on the Cosmos network. Cosmos is a decentralized network of independent, scalable, and interoperable Blockchains, creating the foundation for new economy. Our work describes the application functionalities for buying, selling and renting goods. It shows the easiness of trading, while eliminating the third parties and demonstrates the disruptive potential of the Blockchain technologies.","Tehnicki glasnik (Technical Journal), 15(2), 282-286. WoS ESCI + Scopus + EBSCOhost, JIF (2024): 0.7",https://doi.org/10.31803/tg-20210429130302||http://repository.uist.edu.mk/handle/123456789/81,en,Trading Application Based on Blockchain Technology,Article
+,123456789/14,O. Petan||Lj. Sandjakoska||A. Hristov,2021-07-02,"Nowadays, in the era of big data, data engineering becomes one of the key features in providing competitive advantages to companies. A lot of approaches are introduced into data analytics in order to improve the businesses. This paper presents one possible way of introducing intelligence. As a case study, a comprehensive analysis of an e-commerce site is done. The analysis includes user segmentation, analysis of the conversion funnel, product analysis, and ad campaigns analysis. The data engineering process results with important findings: documents and dashboards. The findings give additional value for the employees and for the automation of the business processes to make them more intelligent.","Balkan Journal of Applied Mathematics and Informatics (BJAMI), 4(1), 59-67",https://js.ugd.edu.mk/index.php/bjami/en/article/view/4089||http://repository.uist.edu.mk/handle/123456789/108,en,How Data Engineering and Big Data Analytics Can Contribute into Introducing Intelligence in Business: A Case Study,Article
